,Customer ID,recency,Spent,Number of Orders,Date Last Quarter,Customer Name
0,0,0.31035323,1.676245365,3.374657527,4/9/2012,Graduation
1,1,-0.38081349,-0.963296959,-2.868919747,8/3/2014,Graduation
2,2,-0.795513522,0.280110085,2.487409262,21-08-2013,Graduation
3,3,-0.795513522,-0.920134632,-2.230479641,10/2/2014,Graduation
4,4,1.554453326,-0.307561602,0.504113364,19-01-2014,PhD
5,5,-1.141096882,0.180504715,2.44122095,9/9/2013,Master
6,6,-0.519046834,-0.028666564,1.54129618,13-11-2012,Graduation
7,7,-0.588163506,-0.727564248,-1.5009698,8/5/2013,PhD
8,8,-1.037421874,-0.931755258,-2.481070671,6/6/2013,PhD
9,9,0.65593659,-0.92677499,-3.825926462,13-03-2014,PhD
10,10,0.344911566,-0.906853916,-2.538152616,15-11-2013,Graduation
11,11,1.139753294,0.821299267,0.731610239,13-11-2012,Basic
12,12,0.13756155,-0.493491627,-0.122126219,15-11-2013,Graduation
13,13,-0.38081349,-0.931755258,-2.902907536,15-11-2013,Master
14,14,-0.89918853,1.174898333,4.10464335,10/10/2012,Graduation
15,15,0.068444878,-0.848750783,-2.173397696,24-11-2012,PhD
16,16,-1.002863538,-0.481871001,-0.543963085,24-12-2012,Graduation
17,17,1.450778318,1.950160135,3.957322577,31-08-2012,Graduation
18,18,1.277986638,-0.787327471,-2.196491851,28-03-2013,Master
19,19,-0.277138482,-0.48353109,-0.509975296,3/11/2012,2n Cycle
20,20,-0.242580146,1.86383548,5.375820024,8/8/2012,Graduation
21,21,0.48314491,0.60548763,0.332867529,6/1/2013,Graduation
22,22,-1.694030258,-0.105030681,1.450226446,23-12-2012,PhD
23,23,0.690494926,-0.271039633,0.242628701,11/1/2014,PhD
24,24,1.381661646,-0.883612663,-2.196491851,18-03-2013,Graduation
25,25,-1.555796914,-0.581476371,-0.794554115,2/1/2013,Graduation
26,26,-0.795513522,-0.79064765,-1.888818876,27-05-2013,Graduation
27,27,1.623569998,1.767550289,4.149524773,20-02-2013,Graduation
28,28,-0.519046834,-0.958316691,-2.173397696,31-05-2013,Graduation
29,29,0.241236558,-0.480210911,-0.829848793,22-11-2013,PhD
30,30,-0.622721842,-0.808908635,-1.888818876,22-05-2014,Master
31,31,-1.41756357,-0.506772343,-0.543963085,11/5/2013,Master
32,32,-1.555796914,0.977347681,1.380943978,10/10/2012,Graduation
33,33,0.206678222,-0.900213558,-2.538152616,29-10-2012,PhD
34,34,-0.415371826,0.507542349,3.375133509,20-02-2013,Master
35,35,0.932403278,-0.873652126,-2.139409906,29-08-2013,Master
36,36,1.727245006,-0.896893379,-2.561246772,31-12-2013,PhD
37,37,0.13756155,0.489281364,3.317575582,2/9/2013,2n Cycle
38,38,-1.59035525,1.307705494,2.315687444,11/2/2014,Graduation
39,39,1.34710331,-0.920134632,-2.538152616,1/2/2013,PhD
40,40,-1.555796914,-0.971597407,-3.267662457,29-04-2013,Graduation
41,41,-1.037421874,-0.956656601,-2.538152616,12/3/2013,Master
42,42,0.794169934,0.625408704,0.674528293,24-12-2012,Graduation
43,43,-0.864630194,-0.805588456,-1.831736931,5/11/2013,PhD
44,44,1.485336654,-0.916814453,-2.845825591,2/10/2013,Master
45,45,-0.346255154,1.181538691,2.008490451,28-06-2014,Graduation
46,46,-0.691838514,-0.166453993,1.02838958,9/11/2012,2n Cycle
47,47,-1.624913586,1.802412168,5.072543698,24-05-2013,Graduation
48,48,0.172119886,-0.888592931,-2.538152616,1/1/2014,Graduation
49,49,0.172119886,1.676245365,2.496996006,8/11/2012,PhD
50,50,0.275794894,-0.002105132,1.02838958,12/5/2014,Graduation
51,51,0.206678222,2.2406758,4.319939702,11/8/2012,Master
52,52,-0.657280178,0.806358461,2.418126794,2/1/2013,Graduation
53,53,-0.622721842,-0.95997678,-2.595234561,7/6/2014,Graduation
54,54,0.48314491,-0.148193009,1.256717361,12/6/2013,Graduation
55,55,-1.279330226,1.379089343,2.337950693,19-11-2012,Master
56,56,-1.07198021,0.007855405,1.643735531,2/4/2013,Graduation
57,57,-0.795513522,0.459399753,2.487409262,28-04-2014,Graduation
58,58,-1.41756357,-0.002105132,1.848969156,17-06-2013,Graduation
59,59,-0.691838514,0.778136939,0.959938019,3/3/2014,PhD
60,60,0.897844942,-0.951676333,-2.868919747,4/7/2013,Master
61,61,-1.694030258,-0.989858391,-3.210580511,7/9/2012,Graduation
62,62,-1.037421874,1.106834663,6.314960139,18-02-2013,Graduation
63,63,-1.555796914,0.075919075,1.393144501,11/6/2013,PhD
64,64,1.416219982,1.584940442,-0.214502843,6/12/2013,Graduation
65,65,-1.659471922,1.071972783,1.847662267,21-05-2013,Graduation
66,66,-0.691838514,0.424537873,4.481598793,11/5/2014,Graduation
67,67,1.34710331,0.089199792,2.236818232,19-03-2014,2n Cycle
68,68,0.31035323,-0.900213558,-1.888818876,27-09-2013,Graduation
69,69,0.65593659,-0.986538212,-3.210580511,8/4/2013,Graduation
70,70,-0.519046834,2.129449802,1.950932524,11/9/2012,Master
71,71,-0.311696818,2.659018357,3.135436113,14-09-2012,2n Cycle
72,72,-1.279330226,-0.978237765,-3.267662457,17-03-2013,Graduation
73,73,-1.383005234,0.140662566,2.259912388,5/4/2013,PhD
74,74,1.312544974,-0.734204607,-1.524063956,30-04-2014,Graduation
75,75,-1.521238578,-0.981557944,-3.210580511,19-12-2012,Graduation
76,76,1.312544974,-0.876972305,-2.173397696,27-08-2012,Master
77,77,0.241236558,-0.480210911,-0.829848793,12/10/2012,Graduation
78,78,-1.07198021,0.283430265,4.319939702,4/9/2013,2n Cycle
79,79,1.589011662,-0.915154363,-2.595234561,2/1/2013,Graduation
80,80,-0.03523013,-0.75744586,-1.524063956,29-08-2012,Graduation
81,81,-1.59035525,-0.390566077,0.185546756,23-06-2013,Graduation
82,82,0.725053262,1.259562898,1.836768633,3/7/2013,2n Cycle
83,83,1.036078286,-0.686062011,-1.239485136,11/5/2013,Master
84,84,0.690494926,-0.954996512,-2.902907536,25-02-2014,Graduation
85,85,1.208869966,-0.936735527,-1.831736931,11/8/2013,Graduation
86,86,-0.657280178,-0.933415348,-2.538152616,16-07-2013,Master
87,87,0.794169934,-0.002105132,1.57528397,28-05-2014,Graduation
88,88,-0.415371826,-0.903533737,-2.538152616,12/5/2014,Graduation
89,89,-0.173463474,0.615448167,3.716794274,21-01-2014,Graduation
90,90,-0.588163506,-0.327482676,0.470125575,19-11-2012,PhD
91,91,-1.694030258,-0.888592931,-2.538152616,27-05-2014,Graduation
92,92,-0.20802181,-0.916814453,-2.538152616,23-11-2013,Master
93,93,0.344911566,0.932525264,4.184819451,23-03-2014,Master
94,94,0.65593659,0.851180878,0.868868285,24-05-2014,PhD
95,95,-0.484488498,0.812998819,2.200216665,22-05-2014,Graduation
96,96,1.554453326,-0.95997678,-2.902907536,22-11-2012,Graduation
97,97,-1.175655218,-0.697682637,-1.159309035,11/4/2013,Graduation
98,98,0.241236558,0.50256208,3.0565669,1/12/2013,2n Cycle
99,99,-1.106538546,-0.767406397,-1.831736931,20-06-2013,PhD
100,100,-1.07198021,0.402956709,0.230428179,23-07-2013,2n Cycle
101,101,-0.104346802,0.600507361,3.432215454,30-03-2014,PhD
102,102,-0.311696818,2.013243536,1.267610994,20-04-2013,Graduation
103,103,-0.760955186,0.001215047,1.530402547,17-05-2013,PhD
104,104,1.589011662,0.203745968,3.773876219,8/5/2014,Graduation
105,105,-1.037421874,-0.093410055,1.210529049,10/12/2013,Basic
106,106,-0.760955186,-0.818869172,-2.196491851,24-09-2013,Graduation
107,107,-0.830071858,1.853874943,0.856667762,2/2/2013,Graduation
108,108,0.863286606,-0.050247727,0.972138542,19-12-2012,Graduation
109,109,1.243428302,-0.873652126,-2.561246772,7/12/2012,Master
110,110,-0.415371826,-0.953336422,-2.538152616,2/11/2013,Graduation
111,111,0.552261582,0.087539702,1.757899421,10/11/2012,PhD
112,112,-1.24477189,-0.875312215,-2.196491851,25-06-2014,Master
113,113,0.48314491,-0.958316691,-2.902907536,2/1/2013,Graduation
114,114,1.17431163,-0.936735527,-2.902907536,12/12/2012,PhD
115,115,0.690494926,0.87608222,4.730882934,10/9/2013,Graduation
116,116,1.312544974,-0.080129339,0.423937263,24-01-2014,Graduation
117,117,-0.415371826,2.184232756,0.799585817,19-02-2013,2n Cycle
118,118,0.068444878,-0.85871132,-2.230479641,11/7/2013,2n Cycle
119,119,0.794169934,0.089199792,2.099560186,14-11-2013,Graduation
120,120,-1.348446898,-0.239497932,0.538101154,20-06-2013,Master
121,121,-0.242580146,0.041057196,2.009321358,24-02-2014,Master
122,122,-1.348446898,0.19544552,1.814981366,4/9/2013,Master
123,123,0.068444878,-0.544954402,-0.48688114,22-04-2013,Graduation
124,124,-0.968305202,1.452133281,2.976390799,12/3/2013,Graduation
125,125,-0.622721842,-0.95997678,-2.902907536,18-02-2013,2n Cycle
126,126,0.414028238,-0.832149888,-2.162504062,21-04-2013,Graduation
127,127,-0.415371826,-0.92677499,-2.868919747,8/6/2014,Master
128,128,0.863286606,-0.945035975,-2.538152616,11/7/2013,PhD
129,129,-0.104346802,2.439886541,2.69181198,10/5/2014,PhD
130,130,-1.555796914,0.73995488,0.765598028,30-09-2013,Graduation
131,131,0.82872827,1.291104598,3.101448323,10/3/2013,Master
132,132,-0.069788466,0.437818589,3.20471858,10/2/2014,Graduation
133,133,-1.24477189,-0.490171448,-1.125321246,11/8/2013,Graduation
134,134,-0.449930162,0.447779126,-0.225396476,14-08-2013,PhD
135,135,-0.069788466,-0.895233289,-2.538152616,17-03-2013,PhD
136,136,-0.000671794,-0.971597407,-3.210580511,8/8/2012,Basic
137,137,1.554453326,-0.657840489,-1.159309035,7/7/2013,PhD
138,138,0.552261582,-0.797288008,-1.888818876,19-05-2014,PhD
139,139,0.344911566,-0.24613829,0.788692184,28-07-2013,PhD
140,140,1.623569998,-0.2444782,0.915056596,19-10-2012,Master
141,141,-0.72639685,-0.295940975,0.242628701,14-11-2013,Master
142,142,-1.279330226,-0.860371409,-1.86572472,19-04-2013,Graduation
143,143,0.275794894,0.686832016,3.820064531,28-08-2013,PhD
144,144,-1.348446898,1.28446424,2.669548731,19-03-2013,Graduation
145,145,-1.555796914,-0.500131985,-0.122126219,18-10-2012,Graduation
146,146,-0.000671794,-0.978237765,-3.267662457,28-10-2012,Graduation
147,147,-1.59035525,-0.739184875,-1.638227846,28-08-2013,Graduation
148,148,0.517703246,1.035450814,1.346956189,22-08-2012,2n Cycle
149,149,-1.694030258,-0.986538212,-3.210580511,21-06-2014,Master
150,150,-1.002863538,1.823993332,4.275889185,24-04-2014,Master
151,151,1.450778318,-0.807248545,-1.86572472,7/3/2014,Graduation
152,152,-1.383005234,1.138376363,2.07646603,14-12-2012,2n Cycle
153,153,1.69268667,1.66130456,3.325855437,12/5/2014,Graduation
154,154,1.17431163,-0.862031499,-2.230479641,9/10/2012,PhD
155,155,-0.760955186,-0.309221691,1.620165392,19-02-2013,Graduation
156,156,0.48314491,-0.578156192,-0.567057241,8/7/2013,Graduation
157,157,-0.104346802,0.846200609,0.423937263,12/9/2013,Graduation
158,158,1.208869966,-0.860371409,-2.196491851,17-10-2013,Graduation
159,159,0.31035323,-0.948356154,-2.902907536,20-08-2013,Graduation
160,160,1.00151995,-0.913494274,-2.538152616,1/7/2013,Master
161,161,-1.555796914,-0.762426128,-1.831736931,5/11/2012,PhD
162,162,-1.106538546,-0.853731051,-2.196491851,5/1/2014,Graduation
163,163,0.966961614,-0.810568724,-2.162504062,1/5/2013,PhD
164,164,0.241236558,2.038144879,5.01629266,1/3/2014,PhD
165,165,1.036078286,1.179878601,4.047085422,13-11-2013,Graduation
166,166,1.416219982,-0.933415348,-2.538152616,18-11-2013,Graduation
167,167,1.623569998,-0.991518481,-3.267662457,28-08-2013,Graduation
168,168,-0.173463474,0.615448167,3.716794274,2/11/2013,Graduation
169,169,1.105194958,-0.691042279,-1.159309035,25-02-2014,Graduation
170,170,0.966961614,-0.913494274,-2.196491851,21-04-2014,Graduation
171,171,-0.968305202,0.70675309,3.364239876,13-07-2013,Graduation
172,172,-1.141096882,-0.898553468,-2.561246772,21-04-2014,Graduation
173,173,1.070636622,-0.936735527,-2.538152616,30-01-2014,PhD
174,174,-0.138905138,-0.9251149,-2.868919747,4/4/2014,Graduation
175,175,0.48314491,-0.943375885,-2.595234561,12/9/2012,PhD
176,176,-0.519046834,0.001215047,1.165647626,16-12-2012,PhD
177,177,-1.210213554,1.616482143,3.454002721,23-05-2014,PhD
178,178,-1.24477189,-0.895233289,-2.538152616,24-06-2014,Graduation
179,179,0.103003214,-0.875312215,-2.868919747,1/12/2013,2n Cycle
180,180,1.69268667,1.120115379,4.811059035,11/5/2014,PhD
181,181,1.51989499,-0.85705123,-2.173397696,10/5/2014,2n Cycle
182,182,-0.38081349,-0.48519118,-0.179208165,28-09-2013,Master
183,183,-0.864630194,-0.956656601,-2.868919747,22-01-2014,Master
