,Customer Name,recency,Spent,Date Last Quarter,Customer ID,Number of Orders,segment,segment_name
0,Graduate,58,1617.0,4/9/2012,0,22,1,Fidele
1,Graduate,38,27.0,8/3/2014,1,4,2,Zappeur
2,Graduate,26,776.0,21-08-2013,2,20,0,Potentiel
3,Graduate,26,53.0,10/2/2014,3,6,2,Zappeur
4,Postgraduate,94,422.0,19-01-2014,4,14,0,Potentiel
5,Postgraduate,16,716.0,9/9/2013,5,20,0,Potentiel
6,Graduate,34,590.0,13-11-2012,6,17,0,Potentiel
7,Postgraduate,32,169.0,8/5/2013,7,8,2,Zappeur
8,Postgraduate,19,46.0,6/6/2013,8,5,2,Zappeur
9,Postgraduate,68,49.0,13-03-2014,9,1,2,Zappeur
10,Undergraduate,59,61.0,15-11-2013,10,5,2,Zappeur
11,Graduate,82,1102.0,13-11-2012,11,15,3,Habituel
12,Postgraduate,53,310.0,15-11-2013,12,12,2,Zappeur
13,Graduate,38,46.0,15-11-2013,13,4,2,Zappeur
14,Postgraduate,23,1315.0,10/10/2012,14,25,3,Habituel
15,Graduate,51,96.0,24-11-2012,15,6,2,Zappeur
16,Graduate,20,317.0,24-12-2012,16,11,2,Zappeur
17,Postgraduate,91,1782.0,31-08-2012,17,24,1,Fidele
18,Undergraduate,86,133.0,28-03-2013,18,6,2,Zappeur
19,Graduate,41,316.0,3/11/2012,19,11,2,Zappeur
20,Graduate,42,1730.0,8/8/2012,20,28,1,Fidele
21,Postgraduate,63,972.0,6/1/2013,21,14,3,Habituel
22,Postgraduate,0,544.0,23-12-2012,22,17,0,Potentiel
23,Graduate,69,444.0,11/1/2014,23,13,0,Potentiel
24,Graduate,89,75.0,18-03-2013,24,6,2,Zappeur
25,Graduate,4,257.0,2/1/2013,25,10,2,Zappeur
26,Graduate,26,131.0,27-05-2013,26,7,2,Zappeur
27,Postgraduate,96,1672.0,20-02-2013,27,25,1,Fidele
28,Postgraduate,34,30.0,31-05-2013,28,6,2,Zappeur
29,Postgraduate,56,318.0,22-11-2013,29,10,2,Zappeur
30,Graduate,31,120.0,22-05-2014,30,7,2,Zappeur
31,Postgraduate,8,302.0,11/5/2013,31,11,2,Zappeur
